FID,id,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,geom
focos_brasil_hoje_ref.1724bd87-dbf8-330e-8737-020769bbc24d,1724bd87-dbf8-330e-8737-020769bbc24d,-44.611,-4.567,2020-09-24T16:35:00,AQUA_M-T,TRIZIDELA DO VALE,MARANHÃO,Brasil,2112233,21,33,,,,Cerrado,POINT (-4.567 -44.611)
focos_brasil_hoje_ref.cd06db3a-47ca-3472-80fc-772ded0b2ab4,cd06db3a-47ca-3472-80fc-772ded0b2ab4,-44.933,-5.818,2020-09-24T16:35:00,AQUA_M-T,FERNANDO FALCÃO,MARANHÃO,Brasil,2104081,21,33,,,,Cerrado,POINT (-5.818 -44.933)
focos_brasil_hoje_ref.89685394-ab44-383f-9bdb-ec8a6c291a48,89685394-ab44-383f-9bdb-ec8a6c291a48,-41.451,-5.143,2020-09-24T16:35:00,AQUA_M-T,CASTELO DO PIAUÍ,PIAUÍ,Brasil,2202604,22,33,,,,Caatinga,POINT (-5.143 -41.451)
focos_brasil_hoje_ref.f30eecf9-efb4-3756-a5bb-07c79bed108d,f30eecf9-efb4-3756-a5bb-07c79bed108d,-41.441,-5.141,2020-09-24T16:35:00,AQUA_M-T,CASTELO DO PIAUÍ,PIAUÍ,Brasil,2202604,22,33,,,,Caatinga,POINT (-5.141 -41.441)
focos_brasil_hoje_ref.de0bf856-797c-3de5-ac09-00662badf301,de0bf856-797c-3de5-ac09-00662badf301,-48.731,-4.563,2020-09-24T16:35:00,AQUA_M-T,RONDON DO PARÁ,PARÁ,Brasil,1506187,15,33,,,,Amazônia,POINT (-4.563 -48.731)
focos_brasil_hoje_ref.f5284399-b0f9-3cd5-bcb6-3268a07c3735,f5284399-b0f9-3cd5-bcb6-3268a07c3735,-46.426,-5.806,2020-09-24T16:35:00,AQUA_M-T,GRAJAÚ,MARANHÃO,Brasil,2104800,21,33,,,,Cerrado,POINT (-5.806 -46.426)
focos_brasil_hoje_ref.7748563c-42fe-3bce-82a3-820ea2bd1391,7748563c-42fe-3bce-82a3-820ea2bd1391,-45.144,-3.051,2020-09-24T16:35:00,AQUA_M-T,VIANA,MARANHÃO,Brasil,2112803,21,33,,,,Amazônia,POINT (-3.051 -45.144)
focos_brasil_hoje_ref.b7fb2326-ab53-3182-9aa7-ebb156b20c4e,b7fb2326-ab53-3182-9aa7-ebb156b20c4e,-49.69,-3.734,2020-09-24T16:35:00,AQUA_M-T,TUCURUÍ,PARÁ,Brasil,1508100,15,33,,,,Amazônia,POINT (-3.734 -49.69)
focos_brasil_hoje_ref.2a98846c-3cf0-33ab-9cb6-6b63e31f2794,2a98846c-3cf0-33ab-9cb6-6b63e31f2794,-45.796,-5.801,2020-09-24T16:35:00,AQUA_M-T,GRAJAÚ,MARANHÃO,Brasil,2104800,21,33,,,,Cerrado,POINT (-5.801 -45.796)
focos_brasil_hoje_ref.4d75e0b9-63c1-3c03-84a3-9f4db6c1afd7,4d75e0b9-63c1-3c03-84a3-9f4db6c1afd7,-45.786,-5.8,2020-09-24T16:35:00,AQUA_M-T,GRAJAÚ,MARANHÃO,Brasil,2104800,21,33,,,,Cerrado,POINT (-5.8 -45.786)
focos_brasil_hoje_ref.5faaad45-f0ca-3701-9236-5f66a7117437,5faaad45-f0ca-3701-9236-5f66a7117437,-44.114,-2.526,2020-09-24T16:35:00,AQUA_M-T,PAÇO DO LUMIAR,MARANHÃO,Brasil,2107506,21,33,,,,Amazônia,POINT (-2.526 -44.114)
focos_brasil_hoje_ref.b5a3e023-d3d5-3c60-aaab-e11e381b4dc0,b5a3e023-d3d5-3c60-aaab-e11e381b4dc0,-48.648,-4.551,2020-09-24T16:35:00,AQUA_M-T,RONDON DO PARÁ,PARÁ,Brasil,1506187,15,33,,,,Amazônia,POINT (-4.551 -48.648)
focos_brasil_hoje_ref.52c064e8-3a3a-3642-9da5-98de2bc29571,52c064e8-3a3a-3642-9da5-98de2bc29571,-50.383,-3.037,2020-09-24T16:35:00,AQUA_M-T,PORTEL,PARÁ,Brasil,1505809,15,33,,,,Amazônia,POINT (-3.037 -50.383)
